nom_commune,Augmentation_%
ABBEVILLE,350
ABLON-SUR-SEINE,160
AGDE,114.29000000000001
AIGUES-MORTES,83.329999999999998
AIRE-SUR-L'ADOUR,400
AIX LES BAINS,33.329999999999998
ALENCON,100
AMPUIS,100
ANCENIS-SAINT-GEREON,100
ANGLET,100
ANNEMASSE,100
APT,250
ARCACHON,20
ARCUEIL,171.43000000000001
ARDON,33.329999999999998
ARGENTEUIL,62.07
ARMENTIERES,100
ARNAS,100
ARPAJON,111.11
AUBERGENVILLE,200
AUBERVILLIERS,36
AUCH,200
AULT,33.329999999999998
AUTUN,33.329999999999998
AUXERRE,77.780000000000001
AVIGNON,137.03999999999999
AVRANCHES,200
AYTRE,100
BALLAN MIRE,100
BALMA,200
BARCELONNETTE,150
BARRE-DE-MONTS (LA),100
BARSAC,100
BATZ-SUR-MER,25
BEAUMONT-SUR-OISE,66.670000000000002
BEAUVAIS,61.539999999999999
BEDOIN,100
BELLEVILLE-EN-BEAUJOLAIS,500
BERCK,33.329999999999998
BESSANCOURT,20
BETHENY,200
BEUIL,100
BEZIERS,212.5
BEZONS,112.5
BLAIN,100
BLANQUEFORT,100
BLAYE,100
BLOIS,100
BOISSY-L'AILLERIE,100
BOLQUERE,200
BONNEUIL-EN-FRANCE,100
BONNEVILLE,25
BORMES-LES-MIMOSAS,61.539999999999999
BOUGUENAIS,25
BOURGES,38.100000000000001
BREST,39.289999999999999
BRETIGNOLLES-SUR-MER,50
BRIANCON,20
BRIE COMTE ROBERT,63.640000000000001
BRIVE LA GAILLARDE,81.819999999999993
BRON,28.57
BRUGES,50
BRUNOY,50
BRY-SUR-MARNE,45.450000000000003
CADAUJAC,25
CALAIS,350
CALUIRE ET CUIRE,83.329999999999998
CANCALE,200
CANEJAN,100
CARCASSONNE,36.359999999999999
CARPENTRAS,100
CARQUEFOU,60
CASTELNAU LE LEZ,200
CASTELNAUDARY,200
CASTRIES,100
CAUTERETS,100
CAVAILLON,1500
CAVALAIRE-SUR-MER,300
CAYEUX-SUR-MER,33.329999999999998
CENON,177.78
CERGY,60
CHALON-SUR-SAONE,700
CHALONS EN CHAMPAGNE,76.189999999999998
CHAMBERY,80
CHAMBRAY LES TOURS,100
CHAMONIX MONT BLANC,25
CHAMPAGNOLE,100
CHAMPCUEIL,100
CHAMPIGNY-SUR-MARNE,104.34999999999999
CHAMROUSSE,175
CHANTELOUP EN BRIE,50
CHANTELOUP-LES-VIGNES,300
CHANTILLY,42.859999999999999
CHANTONNAY,100
CHANTRAINE,50
CHAPELLE-SUR-ERDRE (LA),400
CHARBONNIERES-LES-BAINS,100
CHARLEVILLE-MEZIERES,100
CHARTRES,42.420000000000002
CHARTRES-DE-BRETAGNE,66.670000000000002
CHASSIEU,200
CHATEAU-ARNOUX-SAINT-AUBAN,100
CHATEAUBRIANT,200
CHATEAUDUN,150
CHATEAUNEUF S LOIRE,150
CHAUMONT,400
CHELLES,153.33000000000001
CHENNEVIERES SUR MARNE,122.22
CHERBOURG-EN-COTENTIN,112.5
CHESSY,20
CHEVREUSE,50
CHILLY MAZARIN,45.450000000000003
CHOLET,40
CLAIX,100
CLARENSAC,100
CLAYE-SOUILLY,50
CLERMONT L HERAULT,75
CLICHY,43.18
COMBS LA VILLE,83.329999999999998
COMPIEGNE,65
CONCARNEAU,300
CONDRIEU,150
CORBAS,100
CORBREUSE,100
CORRENCON-EN-VERCORS,200
COUBERT,100
COUBRON,200
COUZON-AU-MONT-D OR,150
COYE LA FORET,200
CRAPONNE,33.329999999999998
CRECY LA CHAPELLE,100
CREGY-LES-MEAUX,200
CREON,50
CREPY EN VALOIS,100
CREST,300
DAMMARIE LES LYS,114.29000000000001
DAMMARTIN-EN-GOELE,28.57
DARDILLY,50
DEUIL LA BARRE,83.329999999999998
DINAN,228.56999999999999
DINARD,66.670000000000002
DIVONNE-LES-BAINS,20
DOL DE BRETAGNE,100
DOMENE,100
DOUBS,100
DOUSSARD,100
DRAGUIGNAN,125
DUCOS,233.33000000000001
EAUBONNE,27.27
EGLY,50
ELANCOURT,40
EMBRUN,100
ENNERY,100
EPERNON,100
EPINAL,58.82
ESPALY-SAINT-MARCEL,100
ESSARTS-LE-ROI (LES),75
ETAMPES,20.829999999999998
ETANG-LA-VILLE (L ),33.329999999999998
EVREUX,90.909999999999997
EYBENS,200
EYSINES,60
FAVERGES-SEYTHENEX,100
FECAMP,166.66999999999999
FENOUILLET,100
FLEURY-MEROGIS,400
FONTAINE,100
FONTENAY-SOUS-BOIS,37.039999999999999
FRANCHEVILLE,33.329999999999998
FRANCONVILLE LA GARENNE,68.180000000000007
FRESNES,65.219999999999999
FROGES,50
GAGNY,71.430000000000007
GALLARDON,100
GAP,200
GENAS,200
GENTILLY,37.5
GILETTE,100
GIVET,200
GOLBEY,20
GOURNAY-EN-BRAY,100
GOUSSAINVILLE,133.33000000000001
GRAND QUEVILLY (LE),300
GRETZ-ARMAINVILLIERS,166.66999999999999
GRIGNY,40
GUERET,50
GUICHEN,100
GUIDEL,50
GUIGNES,100
GUIGNEVILLE,100
GUINGAMP,100
GUJAN MESTRAS,50
HALLUIN,200
HAUBOURDIN,50
HENNEBONT,133.33000000000001
HERBLAY-SUR-SEINE,25
HOUILLES,162.5
HYERES,56.82
JANZE,300
JARGEAU,50
JOINVILLE-LE-PONT,30.77
L ISLE SUR LA SORGUE,1200
L'HAY-LES-ROSES,50
LA BAULE-ESCOUBLAC,88.459999999999994
LA BERNERIE EN RETZ,100
LA BUISSE,100
LA CHAPELLE ST LUC,80
LA CHAUSSEE SAINT VICTOR,200
LA FARLEDE,40
LA FERTE BERNARD,100
LA FERTE SOUS JOUARRE,100
LA GRANDE MOTTE,166.66999999999999
LA PLAGNE TARENTAISE,250
LA QUEUE-EN-BRIE,20
LA ROCHELLE,33.329999999999998
LA SALLE,200
LA SEYNE SUR MER,38.890000000000001
LA TESTE-DE-BUCH,275
LA TURBALLE,40
LA-VOULTE-SUR-RHONE,200
LACROIX FALGARDE,100
LAMBALLE-ARMOR,600
LAMORLAYE,600
LANDIVISIAU,50
LANESTER,150
LANGON,150
LANTON,200
LARMOR-PLAGE,150
LAVAL,100
LE BOURGET,125
LE BOUSCAT,160
LE CHESNAY-ROCQUENCOURT,21.43
LE COTEAU,40
LE CREUSOT,400
LE CROISIC,66.670000000000002
LE DEVOLUY,1000
LE GRAU DU ROI,56.759999999999998
LE MANS,63.640000000000001
LE PALAIS,400
LE PASSAGE,50
LE PERREUX-SUR-MARNE,31.25
LE PIN,200
LE PLESSIS BELLEVILLE,400
LE PLESSIS PATE,300
LE PLESSIS-TREVISE,41.670000000000002
LE PONTET,66.670000000000002
LE PRADET,200
LE PUY EN VELAY,85.709999999999994
LE TEICH,40
LE TOUQUET PARIS PLAGE,150
LE VERDON SUR MER,33.329999999999998
LECCI,40
LEOGNAN,100
LEON,100
LES ALLUES,50
LES GETS,100
LES HOUCHES,400
LES ULIS,71.430000000000007
LESIGNY,42.859999999999999
LESPARRE-MEDOC,100
LEUCATE,20.690000000000001
LEVALLOIS-PERRET,44.829999999999998
LEVENS,300
LEZIGNAN-CORBIERES,300
LIANCOURT,100
LIBOURNE,140
LIEUSAINT,71.430000000000007
LILLE,40.299999999999997
LILLEBONNE,100
LIMAY,33.329999999999998
LIMEIL-BREVANNES,25
LINAS,20
LISSES,100
LONGJUMEAU,33.329999999999998
LONGPONT-SUR-ORGE,25
LONS,600
LORGUES,200
LORIENT,175
LOUVECIENNES,50
