Id_bien_immobilier;no_voie;suffixe;nom_voie;nb_piece;surface_habitable;surface_terrain;Id_commune;Id_code_postale;Id_type_local;Id_nature_culture;Id_nature_culture_spe
1;347;;RUE DU CHATEAU;3;48;;1;1170;2;;
2;20;B;RUE MARCEAU;3;82;;142;6000;2;;
3;4;;BD EDOUARD BAUDOIN;1;40;;205;6160;2;;
4;550;;RTE DES VESPINS RN7;1;27;;228;6700;2;;
5;9300;;RES LES ARPEGES BD DES ABA;2;47;;326;13400;2;;
6;360;;AV DU PRADO;3;70;;327;13008;2;;
7;27;;RUE DU GRAND MADIER;1;24;;331;13600;2;;
8;5076;F;PARC DESSUARD;3;66;;343;13012;2;;
9;30;;ALL DES NOISETIERS;4;99;;366;14100;1;;
10;1194;;RUE DE NORMANDIE;1;19;;372;14510;2;;
11;11;;RUE ROUGET DE L ISLE;2;34;;390;17000;2;;
12;13;;RUE BERTHE MORISOT;5;100;;480;25000;1;;
13;1;;RUE DU POHER;1;31;;595;29000;2;;
14;2;;RUE DES JARDINS;3;67;;602;29290;2;;
15;5;;AV DU COMMANDANT TAILLANDIER;2;46;;732;31500;2;;
16;9;;RUE DE BELFORT;2;51;;782;33160;2;;
17;15;;RUE PAUL DENUCE;1;27;;796;33800;2;;
18;176;;RUE SAINTE CATHERINE;1;12;;783;33000;2;;
19;822;G; LA BAYNASSE SUD;2;29;;877;33121;2;;
20;183;;RUE MARC ANTOINE MENARD;1;18;;907;34400;2;;
21;8;;PL DES ETATS DU LANGUEDOC;3;85;;948;34120;2;;
22;50;;AV ANDRE CHASSEFIERE;2;51;;949;34340;2;;
23;7;;RUE JEAN-JACQUES ROUSSEAU;4;89;;1038;37270;1;;
24;197;;AV DE GRAMMONT;2;46;;1035;37000;2;;
25;48;;BD MAL FOCH;4;77;;1054;38000;2;;
26;210;;RTE DU TAILLEUR;3;53;;1156;40170;1;;
27;199;;RES MER ET GOLF-LE BOUCANIER;2;48;;1170;40480;2;;
28;3;;ALL JEAN PERRIN;2;45;;1286;44400;2;;
29;12;;RUE FERDINAND BUISSON;2;48;;1326;44600;2;;
30;35;;AV DE CHAMPAGNE;4;79;;1482;51200;2;;
31;26;;RUE MESSIER;2;39;;1512;54000;2;;
32;5794;; GOLF SAINT LAURENT;3;44;;1595;56400;2;;
33;5;;RUE DE PRUNEVEAUX;4;124;;1618;58000;2;;
34;118;;BD DU GENERAL DE GAULLE;3;71;;1642;59100;2;;
35;247;;RUE DE NOTRE DAME DU THIL;2;48;;1698;60000;2;;
36;84;;AV JEAN JAURES;1;32;;1710;60290;2;;
37;15;;SQ JEAN BAPTISTE CLEMENT;5;97;;1718;60200;2;;
38;34;;RUE DE LA VILLE;1;18;;1734;60660;2;;
39;15;;RUE ARTAUD;1;20;;1908;69004;2;;
40;54;;RUE DE LA BUSSIERE;2;51;;1953;69600;2;;
41;2308;;AV DES VALLEES;4;88;;2162;74300;2;;
42;950;;AV DU MONT D ARBOIS;2;39;;2166;74170;2;;
43;1;;AV D ABONDANCE;2;33;;2194;74500;2;;
44;110;;RTE DE LA TELECABINE;1;20;;2196;74430;2;;
45;5;;PARC DE LA BRESLE;3;58;;2211;76130;2;;
46;16;;AV ALEXANDRE ANQUETIN;4;59;;2222;76200;2;;
47;4;;RUE FRANCOIS LAPERT;1;25;;2248;76460;2;;
48;5;B;RUE DE LA SOLIDARITE;2;40;;2341;77410;2;;
49;1;;RUE MAL DE LATTRE DE TASSIGNY;2;40;;2408;78210;2;;
50;2;;RUE DIVISION LECLERC;2;48;;2412;78140;2;;
51;1;;AV DE DENTON;5;107;;2411;78180;2;;
52;15;;RUE ROBERT DESNOS;4;70;;2408;78210;2;;
53;4;;ALL HELENE LAZAREFF;4;89;;2426;78430;2;;
54;1;;RUE MAETERLINCK;3;74;;2425;78500;2;;
55;53;;RUE DE MAREIL;5;142;;2447;78100;2;;
56;;; LES SAVELS;2;50;;2622;83130;2;;
57;9100;;RES LE GRAND SOLEIL;2;38;;2639;83270;2;;
58;8;;ALL DES PAQUERETTES;5;91;;2635;83110;1;;
59;31;;AV DE LA SABLIERE CAPTE;1;20;;2637;83400;2;;
60;43;;RUE CAMPANE;2;40;;2658;84000;2;;
61;78;;RUE CARNOT;2;45;;2728;85300;2;;
62;9007;;RUE DES DOUVES;4;75;;2735;86000;2;;
63;20;B;ALL DU HAUT POITOU;1;30;;2736;86360;2;;
64;14;;RUE DU CLUZEAU;2;62;;2744;87170;2;;
65;8;;RUE GEORGES BELJEAN;2;43;;2746;87100;2;;
66;6;;RUE DE LA DIVISION LECLERC;2;43;;2855;91320;2;;
67;2;;RUE D ADELAIAU;5;128;;2924;91470;2;;
68;5;;BD GEORGES CLEMENCEAU;3;65;;2945;92400;2;;
69;32;;RUE GEORGES THORETTON;3;59;;2949;92230;2;;
70;79;;RUE DE VARSOVIE;3;55;;2950;92700;2;;
71;74;;RUE JULES GUESDE;2;55;;2952;92300;2;;
72;129;;ALL JULES AUFFRET;2;46;;2984;93320;2;;
73;1;;PL GASTON BUSSIERE;2;24;;3003;93270;2;;
74;35;;AV SAINTE FOY;4;90;115;3011;93220;1;S;
75;4;;ALL JOSEPHINE;4;77;;3012;93160;2;;
76;4;;RUE DU CLOS SAINT NICOLAS;2;49;;3047;94510;2;;
77;18;;RUE DE PROVENCE;4;66;;3047;94510;1;;
78;21;;RUE CLAUDE BERNARD;3;67;;3050;94450;2;;
79;7;;RUE DE L EGALITE;1;17;;3061;94300;2;;
80;57;;ALL DU VEXIN;5;93;;3068;95180;1;;
81;16;;RUE DE LA FOSSE AUX BICHES;4;69;;3136;95130;2;;
82;9004;;RES LES LIGNIERES;3;56;;3139;95150;2;;
83;22;;BD SAINT MARCEL;2;41;;3200;75005;2;;
84;45;;BD DE MAGENTA;2;32;;3201;75010;2;;
85;36;;RUE ERARD;2;41;;3204;75012;2;;
86;220;;RUE DE CHARENTON;3;51;;3204;75012;2;;
87;11;;RUE DU MOULIN JOLY;2;28;;3203;75011;2;;
88;160;;RUE SAINT MAUR;2;28;;3203;75011;2;;
89;17;;RUE D AUSTERLITZ;1;10;;3204;75012;2;;
90;14;;AV DE LA REPUBLIQUE;4;120;;3203;75011;2;;
91;60;A;RUE EMERIAU;4;88;;3207;75015;2;;
92;36;;AV DE CLICHY;2;39;;3210;75018;2;;
93;68;;RUE MARCADET;2;25;;3210;75018;2;;
94;4;;RUE SQUARE CARPEAUX;1;18;;3210;75018;2;;
95;9;;RUE NEUVE;1;47;;48;1120;2;;
96;27;;RUE FERNAND THUILLART;6;156;;55;2000;2;;
97;2;;RUE DENAIN;3;77;;73;3000;2;;
98;7102;;PL DE L ENGIEN;4;133;;78;4500;2;;
99;9002;;PL DU DOCTEUR ROBERT;1;33;;77;4200;2;;
100;7052;;RES LES CHENEVRIERS;1;25;;79;4400;2;;
101;8;;RUE ROSSINI;4;98;;142;6000;2;;
102;27;;RUE LAMARTINE;3;95;;142;6000;2;;
103;4;;AV VALROSE;3;68;;144;6100;2;;
104;15;B;AV VICTOR CAUVIN;2;58;;162;6230;2;;
105;15;;AV NIQUET;2;41;;204;6600;2;;
106;7;;CHE DE SAINT LAURENT;3;58;;226;6800;2;;
107;5;;IMP DU CHANT DE L ALOUETTE;3;52;;278;10100;2;;
108;9;;RUE BOSCARY;1;30;;314;13004;2;;
109;55;;RUE FRANCIS DAVSO;2;50;;315;13001;2;;
110;9;;RUE CRUDERE;3;51;;324;13006;2;;
111;13;;BD GUSTAVE GANAY;3;52;;325;13009;2;;
112;5279;F;RUE DU 14 JUILLET;3;51;;328;13470;2;;
113;4;;RUE AUX NAMPS;2;59;;363;14000;2;;
114;1;;RUE PESTEL;1;13;;367;14600;2;;
115;1;;AV P CASSAGNAVERE;2;53;;368;14360;2;;
116;1;;RUE CHARLES KOECHLIN;2;32;792;370;14640;1;S;
117;6;;RUE DES MENDRIES;3;50;;389;17138;1;;
118;66;;AV DENFERT ROCHEREAU;1;33;;390;17000;2;;
119;16;H;BD DE L ATLANTIQUE;4;64;;431;22000;2;;
120;33;;RUE ANATOLE LE BRAZ;2;57;;459;22700;2;;
121;5;;RES DE LA HAUTE RIVE;4;67;;460;22300;2;;
