Id_commune;nom_commune
0;SAINT-ETIENNE-DU-BOIS
1;CHEVRY
2;DIVONNE-LES-BAINS
3;PERON
4;VALSERHONE
5;CULOZ
6;ST-GENIS-POUILLY
7;OYONNAX
8;ST-GERMAIN-DE-JOUX
9;GEX
10;AMBERIEU-EN-BUGEY
11;CESSY
12;SAULT-BRENAZ
13;FERNEY-VOLTAIRE
14;SEGNY
15;LAGNIEU
16;LE POIZAT-LALLEYRIAT
17;BELLEY
18;ORNEX
19;DORTAN
20;PREVESSIN-MOENS
21;BRENOD
22;SAINT-JEAN-LE-VIEUX
23;NANTUA
24;SAINT-DENIS-EN-BUGEY
25;THOIRY
26;BELLIGNAT
27;PLATEAU D'HAUTEVILLE
28;LELEX
29;VESANCY
30;IZERNORE
31;ECHENEVEX
32;VERSONNEX
33;SAINT-VULBAS
34;COLLONGES
35;CHAMPAGNE-EN-VALROMEY
36;JUJURIEUX
37;MATAFELON-GRANGES
38;HAUT-VALROMEY
39;ARBENT
40;LOYETTES
41;MIJOUX
42;SERGY
43;FARGES
44;CROZET
45;VILLARS-LES-DOMBES
46;MEXIMIEUX
47;MONTCEAUX
48;MONTLUEL
49;JASSANS-RIOTTIER
50;BEAUREGARD
51;DAGNEUX
52;MIONNAY
53;VILLIEU-LOYES-MOLLON
54;CHAUNY
55;LAON
56;LA FERE
57;URCEL
58;SAINT GOBAIN
59;TERGNIER
60;FOLEMBRAY
61;SAINT QUENTIN
62;SOISSONS
63;COURMELLES
64;VIC SUR AISNE
65;VILLERS-COTTERETS
66;LARGNY SUR AUTOMNE
67;NANTEUIL LA FOSSE
68;VAILLY-SUR-AISNE
69;COEUVRES ET VALSERY
70;BELLEU
71;CHATEAU THIERRY
72;FERE EN TARDENOIS
73;MOULINS
74;YZEURE
75;CUSSET
76;VICHY
77;SISTERON
78;RIEZ
79;ENCHASTRAYES
80;CHATEAU-ARNOUX-SAINT-AUBAN
81;DIGNE-LES-BAINS
82;MONTCLAR
83;ALLOS
84;CASTELLANE
85;JAUSIERS
86;LE LAUZET UBAYE
87;SEYNE
88;SAINTE CROIX DU VERDON
89;FAUCON-DE-BARCELONNETTE
90;BARCELONNETTE
91;GREOUX-LES-BAINS
92;SAINT-MARTIN-DE-BROMES
93;PEIPIN
94;VOLX
95;FORCALQUIER
96;SELONNET
97;MANOSQUE
98;UVERNET-FOURS
99;NOYERS-SUR-JABRON
100;PIERRERUE
101;ORAISON
102;L ESCALE
103;VILLENEUVE
104;VALENSOLE
105;VOLONNE
106;SAINTE-TULLE
107;SAINT-ETIENNE-LES-ORGUES
108;DEMANDOLX
109;BARREME
110;LARAGNE-MONTEGLIN
111;SAINT-MICHEL-DE-CHAILLOL
112;MONTGARDIN
113;VARS
114;EMBRUN
115;SAINT-SAUVEUR
116;BRIANCON
117;ORCIERES
118;VALLOUISE-PELVOUX
119;L'ARGENTIERE-LA-BESSEE
120;GAP
121;LE DEVOLUY
122;LA CHAPELLE-EN-VALGAUDEMAR
123;ABRIES-RISTOLAS
124;LA SALLE
125;VEYNES
126;ANCELLE
127;LES ORRES
128;SERRES
129;RISOUL
130;CHORGES
131;PUY SAINT VINCENT
132;SAINT-BONNET-EN-CHAMPSAUR
133;NEVACHE
134;LE MONETIER-LES-BAINS
135;LA BATIE NEUVE
136;GUILLESTRE
137;SAVINES-LE-LAC
138;MONTGENEVRE
139;LAYE
140;PUY-SANIERES
141;SAINT-CHAFFREY
142;NICE
143;NICE
144;NICE
145;SAINT-ANDRE DE LA ROCHE
146;LA TRINITE
147;FALICON
148;NICE
149;MENTON
150;ROQUEBRUNE CAP MARTIN
151;BEAUSOLEIL
152;LA BRIGUE
153;SAORGE
154;TENDE
155;SOSPEL
156;CASTELLAR
157;CASTILLON
158;GORBIO
159;MOULINET
160;BREIL-SUR-ROYA
161;SAINTE-AGNES
