Zone,dépense_M_$
États-Unis d'Amérique,22000
Inde,21226.454286
"Chine, continentale",10486.250663000001
Turquie,8440.4358179999999
Indonésie,6446.212802
Brésil,6364.4736700000003
Thaïlande,6017.6137319999998
Fédération de Russie,5109.5806009999997
France,4690.4362460000002
Suisse,3823.1210339999998
Mexique,3781.60887
Cuba,3033.4164169999999
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,2791.4964580000001
Philippines,2499.6801329999998
Canada,2420.6902100000002
Norvège,2352.4884139999999
Tchéquie,2248.855681
Pologne,2166.2450170000002
Australie,2073.94769
Algérie,1927.955158
Italie,1793.4818359999999
Finlande,1685.484316
Colombie,1674.8344300000001
Malaisie,1557.514727
Roumanie,1403.4896229999999
Arabie saoudite,1330.9333329999999
Maroc,1153.638406
Chili,1056.467785
Éthiopie,1008.323459
Afrique du Sud,923.66895599999998
Irlande,920.69015899999999
Sri Lanka,906.042959
Pays-Bas,901.48557900000003
Égypte,737.40898500000003
Népal,735.31349899999998
Hongrie,734.80140900000004
Argentine,710.69300699999997
Suède,697.05193699999995
Israël,624.613788
Espagne,617.93560400000001
Bélarus,607.23835399999996
Ouzbékistan,594.36333999999999
Tunisie,560.04257199999995
Kazakhstan,543.17682500000001
Viet Nam,521.58939599999997
Danemark,505.53594700000002
Nouvelle-Zélande,481.85731500000003
Bulgarie,472.42044600000003
Grèce,468.81768799999998
Nigéria,459.13846100000001
Portugal,455.08189499999997
Zambie,454.22546899999998
Ukraine,416.29371300000003
Serbie,399.96897000000001
Kenya,390.11674399999998
Myanmar,365.49030399999998
Croatie,360.97041100000001
Pakistan,359.72634499999998
Pérou,327.22131400000001
Azerbaïdjan,322.167419
République dominicaine,319.76273700000002
Afghanistan,288.42343799999998
Équateur,264.04233399999998
Lituanie,262.84630800000002
Malawi,251.50611599999999
Slovaquie,240.62209100000001
Ouganda,240.47467800000001
Ghana,222.237897
Panama,204.59878599999999
Namibie,201.014478
Costa Rica,200.410797
Angola,197.60029
République-Unie de Tanzanie,191.448702
Islande,186.864283
Bénin,182.247085
Singapour,164.889476
Guatemala,163.61633
Côte d'Ivoire,162.75888699999999
Slovénie,159.071911
Paraguay,157.78660300000001
Lettonie,151.23041900000001
Luxembourg,150.962098
Uruguay,147.11497199999999
Estonie,142.000924
Oman,141.74252300000001
Sénégal,130.88627700000001
Niger,124.11335800000001
Chypre,123.926025
Burkina Faso,122.895804
Botswana,120.58947000000001
Bhoutan,103.882633
Guyana,103.483763
Honduras,97.570694000000003
Togo,96.063817
Trinité-et-Tobago,90.316062000000002
Géorgie,88.342825000000005
République de Moldova,87.204549
Jamaïque,85.258928999999995
Jordanie,82.394366000000005
Guinée,81.600893999999997
Mozambique,79.339697999999999
Madagascar,79.204407000000003
Arménie,78.580100000000002
El Salvador,70.799999999999997
Maurice,70.249450999999993
Albanie,68.522441999999998
Rwanda,63.929200000000002
Malte,50.399106000000003
Liban,50.367612999999999
Papouasie-Nouvelle-Guinée,49.993645999999998
Mongolie,40.884360000000001
République démocratique du Congo,39.653250999999997
Nouvelle-Calédonie,38.699998999999998
Palestine,35.83079
Lesotho,35.237260999999997
Bahamas,28.631
Kirghizistan,27.511132
Eswatini,26.011099999999999
Congo,25.965623000000001
Fidji,25.787718999999999
Burundi,22.420840999999999
Îles Salomon,22.041922
Bahreïn,21.595745000000001
Nicaragua,19.266732000000001
Guinée équatoriale,18.754625999999998
Samoa,17.527076999999998
République centrafricaine,16.526115000000001
Brunéi Darussalam,16.322369999999999
Sainte-Lucie,14.09253
Timor-Leste,13.395656000000001
Cabo Verde,13.172434000000001
Suriname,12.153328
Seychelles,9.1833480000000005
Belize,8.1321860000000008
Saint-Kitts-et-Nevis,7.8811109999999998
Gambie,6.2008010000000002
Libéria,6.0030000000000001
Dominique,5.9119640000000002
Sao Tomé-et-Principe,5.7577480000000003
Saint-Vincent-et-les Grenadines,5.6011290000000002
Antigua-et-Barbuda,4.9332570000000002
Soudan du Sud,4.7076229999999999
Micronésie (États fédérés de),4.3924770000000004
Grenade,3.857221
Îles Marshall,2.0190000000000001
Maldives,1.949702
Sierra Leone,1.070381
Palaos,0.63600000000000001
Somalie,1.2e-004
Belgique,0
